0.12;0.06;0.025;0.00375;0.12;0.125;0.025;0.00375;0.1;0.115;0.025;0.00375;0.1;0.158;0.025;0.0015;0.1;0.234;0.025;0.0015;0.1;0.268;0.025;0.0015;0.1;0.166;0.0075;0.0015;0.09;0.252;0.0075;0.0015;0.08;0.218;0.0075;0.0015;0.06;0.108;0.0075;0.0015;0.06;0.124;0.0075;0.0015;0.06;0.144;0.0075;0.0015;0.06;0.166;0.0075;0.0015;0.06;0.2;0.0075;0.0015;0.06;0.202;0.0075;0.0015;0.06;0.202;0.0075;0.0015
0.2;0.24;0.025;0.00375;0.22;0.55;0.025;0.00375;0.2;0.66;0.025;0.00375;0.14;0.4125;0.025;0.00375;0.14;0.515;0.025;0.00375;0.12;0.595;0.025;0.00375;0.12;0.285;0.0075;0.00375;0.11;0.4175;0.0075;0.00375;0.11;0.48;0.0075;0.00375;0.1;0.42;0.0075;0.00375;0.08;0.25;0.0075;0.00375;0.07;0.19;0.0075;0.00375;0.07;0.256;0.0075;0.0015;0.07;0.292;0.0075;0.0015;0.07;0.275;0.0075;0.00375;0.07;0.305;0.0075;0.00375
0.3;0.29;0.025;0.00375;0.36;0.66;0.025;0.00375;0.3;0.98;0.025;0.0075;0.18;0.7175;0.025;0.00375;0.2;1.12;0.025;0.0075;0.16;0.84;0.025;0.0075;0.15;0.61;0.0075;0.00375;0.13;0.67;0.0075;0.00375;0.12;0.605;0.0075;0.00375;0.11;0.555;0.0075;0.00375;0.1;0.475;0.0075;0.00375;0.09;0.385;0.0075;0.00375;0.08;0.345;0.0075;0.00375;0.08;0.3775;0.0075;0.00375;0.08;0.39;0.0075;0.00375;0.08;0.425;0.0075;0.00375
0.5;0.31;0.025;0.00375;0.6;0.665;0.025;0.00375;0.4;1.01;0.025;0.0075;0.2;0.93;0.025;0.0075;0.24;1.45;0.025;0.015;0.2;1.38;0.025;0.015;0.18;1.01;0.0075;0.0075;0.15;0.97;0.0075;0.0075;0.15;1.09;0.0075;0.0075;0.12;0.7;0.0075;0.00375;0.11;0.6125;0.0075;0.00375;0.11;0.675;0.0075;0.00375;0.09;0.43;0.0075;0.00375;0.09;0.48;0.0075;0.00375;0.09;0.525;0.0075;0.00375;0.09;0.5725;0.0075;0.00375
10;0.315;0.25;0.00375;10;0.675;0.25;0.00375;2;1.025;0.075;0.0075;0.3;1.3;0.025;0.0075;0.3;1.62;0.025;0.015;0.3;1.9;0.025;0.015;0.2;1.29;0.0075;0.0075;0.18;1.42;0.0075;0.0075;0.17;1.39;0.0075;0.0075;0.13;0.89;0.0075;0.0075;0.12;0.8;0.0075;0.0075;0.13;1.03;0.0075;0.0075;0.1;0.5775;0.0075;0.00375;0.11;0.85;0.0075;0.0075;0.1;0.7;0.0075;0.00375;0.11;0.99;0.0075;0.0075
;;;;;;;;4;1.03;0.25;0.0075;0.4;1.345;0.025;0.0075;0.4;1.69;0.025;0.015;0.4;1.98;0.025;0.015;0.23;1.66;0.0075;0.015;0.22;1.92;0.0075;0.015;0.19;1.74;0.0075;0.015;0.15;1.185;0.0075;0.0075;0.13;0.955;0.0075;0.0075;0.15;1.47;0.0075;0.0075;0.12;0.935;0.0075;0.0075;0.13;1.23;0.0075;0.0075;0.12;1.1;0.0075;0.0075;0.13;1.44;0.0075;0.0075
;;;;;;;;10;1.04;0.25;0.0075;0.6;1.38;0.025;0.0075;0.5;1.72;0.025;0.015;0.52;2.02;0.025;0.015;0.25;1.84;0.0075;0.015;0.25;2.22;0.0075;0.015;0.22;2.11;0.0075;0.015;0.17;1.59;0.0075;0.015;0.14;1.13;0.0075;0.0075;0.17;1.88;0.0075;0.015;0.15;1.59;0.0075;0.015;0.15;1.72;0.0075;0.015;0.14;1.62;0.0075;0.015;0.15;1.93;0.0075;0.015
;;;;;;;;;;;;0.94;1.39;0.025;0.0075;0.6;1.74;0.025;0.015;0.6;2.06;0.025;0.015;0.27;1.98;0.0075;0.015;0.3;2.4;0.0075;0.015;0.25;2.38;0.0075;0.015;0.19;1.9;0.0075;0.015;0.15;1.32;0.0075;0.0075;0.19;2.23;0.0075;0.015;0.18;2.16;0.0075;0.015;0.17;2.16;0.0075;0.015;0.16;2.04;0.0075;0.015;0.17;2.44;0.0075;0.015
;;;;;;;;;;;;3;1.4;0.25;0.0075;0.8;1.76;0.025;0.015;0.7;2.08;0.025;0.015;0.3;2.1;0.0075;0.015;0.5;2.6;0.025;0.015;0.34;2.78;0.025;0.015;0.21;2.18;0.0075;0.015;0.16;1.54;0.0075;0.015;0.21;2.55;0.0075;0.015;0.2;2.56;0.0075;0.015;0.2;2.74;0.0075;0.015;0.18;2.5;0.0075;0.015;0.19;2.86;0.0075;0.015
;;;;;;;;;;;;6;1.41;0.25;0.0075;1.5;1.78;0.075;0.015;1.1;2.12;0.075;0.015;0.4;2.29;0.025;0.015;0.6;2.66;0.025;0.015;0.4;2.88;0.025;0.015;0.25;2.64;0.0075;0.015;0.17;1.74;0.0075;0.015;0.23;2.808;0.0075;0.015;0.24;3.05;0.0075;0.0375;0.24;3.3;0.0075;0.0375;0.21;3.05;0.0075;0.0375;0.22;3.4;0.0075;0.0375
;;;;;;;;;;;;10;1.42;0.25;0.0075;10;1.81;0.25;0.015;2.5;2.14;0.075;0.015;0.5;2.34;0.025;0.015;0.7;2.69;0.025;0.015;0.6;2.96;0.025;0.015;0.3;2.9;0.0075;0.015;0.18;1.89;0.0075;0.015;0.25;3.05;0.0075;0.0375;0.3;3.6;0.0075;0.0375;0.28;3.7;0.0075;0.0375;0.26;3.7;0.0075;0.0375;0.25;3.8;0.0075;0.0375
;;;;;;;;;;;;;;;;;;;;10;2.18;0.25;0.015;0.6;2.38;0.025;0.015;0.9;2.76;0.025;0.015;1.1;3.175;0.075;0.0375;0.4;3.075;0.025;0.0375;0.19;2.06;0.0075;0.015;0.29;3.3;0.0075;0.0375;0.4;3.825;0.025;0.0375;0.36;4;0.025;0.0375;0.3;4;0.0075;0.0375;0.28;4.075;0.0075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;0.76;2.42;0.025;0.015;1.5;2.84;0.075;0.015;2;3.25;0.075;0.0375;0.5;3.15;0.025;0.0375;0.2;2.21;0.0075;0.015;0.32;3.5;0.025;0.0375;0.6;4;0.025;0.0375;0.44;4.1;0.025;0.0375;0.4;4.3;0.025;0.0375;0.32;4.35;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;2.6;2.51;0.075;0.015;5;2.88;0.25;0.015;;;;;0.8;3.3;0.025;0.0375;0.21;2.36;0.0075;0.015;0.4;3.575;0.025;0.0375;1;4.25;0.025;0.0375;0.54;4.2;0.025;0.0375;0.5;4.4;0.025;0.0375;0.4;4.5;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3.325;0.25;0.0375;2;3.55;0.075;0.0375;0.25;2.82;0.0075;0.015;0.8;3.85;0.025;0.0375;2;4.6;0.075;0.0375;0.7;4.3;0.025;0.0375;0.6;4.5;0.025;0.0375;0.5;4.6;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;10;2.56;0.25;0.015;10;2.92;0.25;0.015;;;;;;;;;0.36;3.3;0.025;0.0375;1.5;4.2;0.075;0.0375;10;4.75;0.25;0.0375;0.8;4.4;0.025;0.0375;0.96;4.75;0.025;0.0375;0.6;4.675;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3.65;0.25;0.0375;0.4;3.325;0.025;0.0375;2.7;4.3;0.075;0.0375;;;;;0.9;4.45;0.025;0.0375;2;5.3;0.075;0.0375;0.8;4.8;0.025;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;3.4;0.025;0.0375;5.6;4.35;0.25;0.0375;;;;;1.5;4.75;0.075;0.0375;6;5.5;0.25;0.0375;1.1;5.1;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;3.475;0.025;0.0375;10;4.425;0.25;0.0375;;;;;3;5;0.075;0.0375;10;5.55;0.25;0.0375;1.5;5.3;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;3.55;0.025;0.0375;;;;;;;;;3.4;5.05;0.25;0.0375;;;;;2;5.5;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;3.75;0.075;0.0375;;;;;;;;;10;5.15;0.25;0.0375;;;;;2.5;5.675;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;3.95;0.075;0.0375;;;;;;;;;;;;;;;;;3;5.75;0.075;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;5.8;0.25;0.0375
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4.05;0.25;0.0375;;;;;;;;;;;;;;;;;;;;
